P,E,Q
0,3.194827586,0.557496676
0,3.332758621,0.522600973
0,3.313793103,0.433266581
0,3.35862069,0.412019671
0,3.398275862,0.369682333
0.020689656,3.286206897,0.395832377
0,3.232758621,0.443664006
0,3.243103448,0.443664006
0,3.213793103,0.432084266
0,3.175862069,0.449871164
0,3.30862069,0.396510469
0,3.212068966,0.360467225
0,3.217241379,0.333847732
0,3.284482759,0.264595322
0,3.293103448,0.273340982
0,3.215517241,0.308288846
0,3.162068966,0.297282877
0,3.30862069,0.310044933
0,3.279310345,0.303803001
0,3.284482759,0.307315174
0,3.229310345,0.310201416
0.07241379,2.996551724,0.323867595
0.318965514,2.94137931,0.302985812
0.089655172,2.960344828,0.306045924
5.708620749,2.367241379,0.28516414
0.3,3.462068966,0.258875
0,3.125862069,0.225092065
0,3.234482759,0.226117898
0,3.070689655,0.24063604
0.887931035,2.918965517,0.25638866
0,2.917241379,0.26130918
0,2.748275862,0.268594332
0,2.753448276,0.268698654
0,2.9,0.277757279
0.00862069,3.1,0.274540685
0.400000003,2.968965517,0.274540685
0,3.060344828,0.277948536
0,3.1,0.282330059
0,3.253448276,0.285390171
0,3.282758621,0.28325157
0,3.429310345,0.283216796
0,3.372413793,0.295822369
0,3.043103448,0.355703187
0,3.006896552,0.493460365
0.632758617,3.227586207,0.346505466
3.068965527,3.386206897,0.265795025
0.04137931,3.593103448,0.299091125
0.003448276,3.522413793,0.299091125
0,3.482758621,0.366344029
0,3.405172414,0.377141355
0,3.489655172,0.405117033
0,3.522413793,0.339463732
0,3.615517241,0.334682308
0.253448272,3.563793103,0.294605279
0,3.434482759,0.264091099
0,3.493103448,0.299856152
0,3.75,0.334630147
0,3.586206897,0.317625664
0,3.587931034,0.31376575
0,3.725862069,0.310027546
0,3.751724138,0.304289837
0,3.755172414,0.302325106
0,4.029310345,0.304411546
0,4.137931034,0.309523323
0,4.101724138,0.310392673
0.00862069,3.662068966,0.310392673
0.370689663,3.022413793,0.310392673
0.115517241,3.034482759,0.313835298
0,3.543103448,0.275583905
0.25344828,3.725862069,0.271358864
0,3.753448276,0.250459694
0,3.75862069,0.246095557
0.068965517,3.684482759,0.245243594
0.117241381,3.356896552,0.245017563
0.253448274,2.8,0.231160127
0.112068967,3.434482759,0.189361786
0.065517241,3.768965517,0.23519391
0,3.775862069,0.23519391
0,3.8,0.240410009
0,3.889655172,0.228030467
0,3.968965517,0.241314133
0.005172414,4.232758621,0.274940586
1.351724142,4.360344828,0.271167607
3.208620667,4.413793103,0.222779594
0.341379312,3.998275862,0.222779594
0,4.389655172,0.222779594
0.677586198,4.665517241,0.226535186
0,4.75,0.226535186
0,5.00862069,0.209148188
0,5.012068966,0.226535186
0,4.863793103,0.209565476
0,4.95862069,0.225665836
0,4.889655172,0.217389625
0,4.527586207,0.252163619
0,4.332758621,0.242513836
0,4.084482759,0.280052363
0,4.844827586,0.27728783
0,5.079310345,0.27115022
0,5.022413793,0.269168103
0.194827586,5.146551724,0.267464177
0.843103438,5.081034483,0.2623524
0,4.777586207,0.249486022
0.781034486,5.217241379,0.247938579
0,5.010344828,0.241209811
0.305172416,5.256896552,0.226691669
0,5.420689655,0.255119409
0,5.593103448,0.255119409
0,5.70862069,0.252354876
0,5.806896552,0.289337019
0,5.682758621,0.264125873
0.051724138,5.901724138,0.24868622
0,5.84137931,0.259240127
0,5.412068966,0.259240127
0,5.189655172,0.259240127
0,5.153448276,0.259240127
